nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2503,160,0.006606,2.965653896331787,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2517,292,0.007954,6.037050008773804,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,False,,,False,1,1,,,,,,1,0,0,2508,181,0.006826,3.7829349040985107,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,1,0,,,,,,1,0,0,2518,275,0.0077859999999999995,6.9107749462127686,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2517,134,0.006374,3.3710319995880127,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,1,0,,,,,,1,0,0,2517,137,0.006404,3.090472936630249,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,1,0,,,,,,1,0,0,2517,209,0.007124,3.7339320182800293,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2503,171,0.006716,3.5370068550109863,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,1,0,,,,,,1,0,0,2518,232,0.007356,4.584817886352539,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2519,143,0.006468,3.446180820465088,
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2544,385,0.008938,6.7583465576171875,
12,case14-multistep-006-s0,multistep,converged,"Load the 14-bus test case (case14), set the active load at bus 4 to 42.7 MW, disconnect the line between bus 3 and bus 4, reconnect the line between bus 3 and bus 4, and finally rerun the power flow, then list every line whose loading is above 80%.",True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,1,0,,,,,,1,0,0,2559,315,0.008268000000000001,4.909995079040527,
13,case14-multistep-010-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 5, disconnect the line between bus 1 and bus 2, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2544,533,0.010418,8.980628967285156,
