nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-stress-000-s0,stress,islanded,Load the IEEE 14-bus system and disconnect the transformer branch between bus 7 and bus 8.,True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,0,0,False,True,nan,0.0,0.0,4,2,2,8584,625,0.030835,9.560068874969147,
2,case14-stress-000-s1,stress,islanded,Load the IEEE 14-bus system and disconnect the transformer branch between bus 7 and bus 8.,True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,0,0,False,True,nan,0.0,0.0,4,2,2,8517,650,0.0310425,12.379646209010389,
3,case14-stress-001-s0,stress,islanded,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 4, disconnect the transformer branch between bus 7 and bus 8, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,0,0,False,True,nan,0.0,0.0,6,4,4,27885,827,0.0821175,13.401220416009892,
4,case14-stress-001-s1,stress,non_converged,"Load the 14-bus test case (case14), increase the load at bus 3 to 565.2 MW and 114 Mvar (six times its nominal value), increase the active load at bus 4 to 286.8 MW (six times its nominal value), and finally increase the load at bus 9 to 177 MW and 99.6 Mvar (six times its nominal value).",False,extra_arg_changes_result,modify_load: extra argument q_mvar=-3.9 changes the solver outcome (request did not ask for it),escalated,False,formulation,True,False,text,False,abstained,2,True,0,0,False,True,,,,6,4,4,23742,665,0.06933,14.375147040991578,
5,case14-stress-002-s0,stress,islanded,"Load the 14-bus test case (case14), set the active load at bus 9 to 37.7 MW, disconnect the transformer branch between bus 7 and bus 8, and finally rerun the power flow, then list every line whose loading is above 80%.",False,extra_arg_changes_result,modify_load: extra argument q_mvar=16.6 changes the solver outcome (request did not ask for it),escalated,False,formulation,True,False,text,False,abstained,2,True,0,0,False,True,nan,0.033466679764953725,,7,5,5,37455,703,0.10418250000000001,15.688503874989692,
6,case14-stress-002-s1,stress,non_converged,"Load the IEEE 14-bus system, disconnect the line between bus 10 and bus 11, increase the load at bus 13 to 81 MW and 34.8 Mvar (six times its nominal value), increase the load at bus 3 to 565.2 MW and 114 Mvar (six times its nominal value), increase the active load at bus 4 to 286.8 MW (six times its nominal value), and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",False,extra_arg_changes_result,modify_load: extra argument q_mvar=-3.9 changes the solver outcome (request did not ask for it),escalated,False,formulation,True,False,text,False,abstained,2,True,0,0,False,True,,,,8,6,6,46937,509,0.1249775,14.851970040996093,
7,case14-stress-003-s0,stress,non_converged,"Load the 14-bus test case (case14), disconnect the line between bus 1 and bus 2, increase the load at bus 3 to 282.6 MW and 57 Mvar (three times its nominal value), and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,0,0,False,True,,,,6,4,4,16721,495,0.0492275,10.906845582998358,
8,case14-stress-003-s1,stress,islanded,Load the IEEE 14-bus system and disconnect the transformer branch between bus 7 and bus 8.,True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,0,0,False,True,nan,0.0,0.0,4,2,2,8595,637,0.0310425,10.49465233302908,
9,case14-stress-004-s0,stress,non_converged,"Load the IEEE 14-bus system, increase the active load at bus 4 to 286.8 MW (six times its nominal value), increase the load at bus 3 to 565.2 MW and 114 Mvar (six times its nominal value), and finally increase the load at bus 9 to 177 MW and 99.6 Mvar (six times its nominal value).",False,extra_arg_changes_result,modify_load: extra argument q_mvar=-3.9 changes the solver outcome (request did not ask for it),escalated,False,formulation,True,False,text,False,abstained,2,True,0,0,False,True,,,,7,5,5,38404,599,0.104995,13.317161834042054,
10,case14-stress-004-s1,stress,non_converged,"Load case14, increase the load at bus 13 to 81 MW and 34.8 Mvar (six times its nominal value), increase the load at bus 3 to 565.2 MW and 114 Mvar (six times its nominal value), and finally increase the active load at bus 4 to 286.8 MW (six times its nominal value).",False,extra_arg_changes_result,modify_load: extra argument q_mvar=-3.9 changes the solver outcome (request did not ask for it),escalated,False,formulation,True,False,text,False,abstained,2,True,0,0,False,True,,,,5,5,3,21101,566,0.061242500000000005,11.96607512497576,
