nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2399,219,0.0004912499999999999,2.1673319339752197,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2413,230,0.0004999500000000001,3.8691892623901367,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,False,,,False,2,2,,,,,,1,0,0,2404,263,0.0005184,2.631258010864258,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,3,0,,,,,,1,0,0,2414,307,0.0005463,4.272785902023315,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2413,250,0.0005119500000000001,3.8399240970611572,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,3,0,,,,,,1,0,0,2413,307,0.00054615,3.352889060974121,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,wrong_id,declared formulation: modify_load: bus_id intended 11 != executed 10,wrong_unflagged,False,run_failed,False,True,text,True,,,True,3,0,,,,,,1,0,0,2413,213,0.0004897500000000001,2.095916748046875,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2399,201,0.00048045,3.3664560317993164,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,3,0,,,,,,1,0,0,2414,227,0.0004982999999999999,2.6352367401123047,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,wrong_id,declared formulation: modify_load: bus_id intended 2 != executed 1,wrong_unflagged,False,run_failed,False,True,text,True,,,True,1,0,,,,,,1,0,0,2415,223,0.00049605,1.937243938446045,
