nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,4,0,False,,0.0,0.0,0.0,3,2,2,5153,266,0.012965999999999998,17.34125524997944,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,5,0,False,,0.0,0.0,0.0,3,2,2,5129,299,0.013248,18.120106207963545,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",False,extra_arg_changes_result,modify_load: extra argument q_mvar=7.5 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,pass_retry,2,True,4,0,False,,0.0,0.0,,7,5,5,28840,1086,0.06854,80.72239962499589,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=1.6 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,pass_first,1,True,6,0,False,,1.0964523878672797e-05,0.0013627836702001838,,5,4,4,15783,594,0.037506,44.12061037501553,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,6,0,False,,0.0,0.0,0.0,3,2,2,5321,230,0.012942,15.446833458030596,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=1.6 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,pass_first,1,True,6,0,False,,5.8465495596595114e-06,0.0007405084679230201,,4,3,3,11798,628,0.029876,52.641989499970805,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=1.8 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,pass_retry,2,True,6,0,False,,3.3973292379640974e-05,0.0017968029836731233,,6,4,4,17439,1002,0.044898,55.75239558296744,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,9,0,False,,0.0,0.0,0.0,3,2,2,5113,306,0.013286000000000001,28.422379666997585,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=1.6 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,pass_retry,2,True,6,0,False,,1.0391075417258224e-05,0.001277415440764507,,6,4,4,17768,986,0.045396,60.4869058750337,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=12.7 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,pass_first,1,True,6,0,False,,0.0,0.0,,5,4,4,15797,658,0.038174,53.07386533298995,
