nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-stress-000-s0,stress,islanded,Load the IEEE 14-bus system and disconnect the transformer branch between bus 7 and bus 8.,True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,0,0,False,True,nan,0.0,0.0,4,3,2,13649,373,0.00227115,5.996386209037155,
2,case14-stress-001-s0,stress,islanded,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 4, disconnect the transformer branch between bus 7 and bus 8, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,0,0,False,True,nan,0.0,0.0,4,4,2,21230,407,0.0034287,7.271861707966309,
3,case14-stress-002-s0,stress,islanded,"Load the 14-bus test case (case14), set the active load at bus 9 to 37.7 MW, disconnect the transformer branch between bus 7 and bus 8, and finally rerun the power flow, then list every line whose loading is above 80%.",True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,0,0,False,True,nan,0.0,0.0,5,4,3,22670,435,0.0036615,7.46478224999737,
4,case14-stress-003-s0,stress,non_converged,"Load the 14-bus test case (case14), disconnect the line between bus 1 and bus 2, increase the load at bus 3 to 282.6 MW and 57 Mvar (three times its nominal value), and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,1,0,False,True,,,,5,4,3,13291,329,0.00219105,5.845268625009339,
5,case14-stress-004-s0,stress,non_converged,"Load the IEEE 14-bus system, increase the active load at bus 4 to 286.8 MW (six times its nominal value), increase the load at bus 3 to 565.2 MW and 114 Mvar (six times its nominal value), and finally increase the load at bus 9 to 177 MW and 99.6 Mvar (six times its nominal value).",True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,1,0,False,True,,,,4,5,2,19730,420,0.0032115,5.425346041040029,
6,case14-stress-005-s0,stress,islanded,Load the IEEE 14-bus system and disconnect the transformer branch between bus 7 and bus 8.,True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,0,0,False,True,nan,0.0,0.0,4,3,2,13431,358,0.0022294499999999996,7.3401535829762,
7,case14-stress-006-s0,stress,islanded,Load case14 and disconnect the transformer branch between bus 7 and bus 8.,True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,0,0,False,True,nan,0.0,0.0,4,3,2,13435,360,0.00223125,5.441831333038863,
8,case14-stress-007-s0,stress,islanded,"Load the IEEE 14-bus system, disconnect the line between bus 12 and bus 13, disconnect the transformer branch between bus 7 and bus 8, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,0,0,False,True,nan,0.0,0.0,4,4,2,21486,384,0.0034533000000000003,6.656228707986884,
9,case14-stress-008-s0,stress,non_converged,"Load the IEEE 14-bus system, set the active load at bus 13 to 18.6 MW, increase the load at bus 3 to 565.2 MW and 114 Mvar (six times its nominal value), increase the active load at bus 4 to 286.8 MW (six times its nominal value), increase the load at bus 9 to 177 MW and 99.6 Mvar (six times its nominal value), and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,1,0,False,True,,,,5,6,3,28669,411,0.004546949999999999,7.451087582972832,
10,case14-stress-009-s0,stress,islanded,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 3, disconnect the transformer branch between bus 7 and bus 8, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,escalated,True,declared_failure,True,False,text,False,abstained,2,True,0,0,False,True,nan,0.0,0.0,4,4,2,21417,441,0.0034771499999999996,5.695779083005618,
