nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,5,0,False,,0.0,0.0,0.0,2,2,1,3602,169,,3.3565419589867815,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,5,0,False,,0.0,0.0,0.0,2,2,1,3564,168,,3.460450917016715,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,5,0,,,0.0,0.0,0.0,2,2,1,3773,176,,3.3638919580262154,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,6,0,,,0.0,0.0,0.0,2,2,1,3807,169,,3.018333249958232,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,5,0,False,,0.0,0.0,0.0,2,2,1,3756,169,,4.2006299999775365,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,6,0,,,0.0,0.0,0.0,2,2,1,3848,180,,6.342129874974489,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,wrong_id,modify_load: bus_id intended 11 != executed 10,wrong_unflagged,False,formulation,False,True,text,True,,0,True,6,0,,,0.0005787819481880405,1.2242773322265237,,2,2,1,3868,179,,5.220209624967538,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,5,0,False,,0.0,0.0,0.0,2,2,1,3562,153,,3.332768957945518,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,5,0,,,0.0,0.0,0.0,2,2,1,3839,186,,4.48662762506865,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,wrong_id,modify_load: bus_id intended 2 != executed 1,wrong_unflagged,False,formulation,False,True,text,True,,0,True,6,0,,,7.589946216206884e-06,0.6063638589902272,,2,2,1,3798,164,,2.899663958000019,
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,wrong_unflagged,False,answer_mismatch,False,True,text,True,,0,True,5,0,False,,0.0,0.0,0.0,2,5,1,8682,214,,3.4632830830523744,
12,case14-multistep-006-s0,multistep,converged,"Load the 14-bus test case (case14), set the active load at bus 4 to 42.7 MW, disconnect the line between bus 3 and bus 4, reconnect the line between bus 3 and bus 4, and finally rerun the power flow, then list every line whose loading is above 80%.",True,ok,,wrong_unflagged,False,answer_mismatch,False,True,text,False,,0,False,7,1,False,,0.0,0.0,0.0,2,6,1,12211,271,,4.874176417011768,
13,case14-multistep-010-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 5, disconnect the line between bus 1 and bus 2, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,wrong_unflagged,False,answer_mismatch,False,True,text,False,,0,False,7,1,False,,0.0,0.0,0.0,2,5,1,8961,232,,4.156977917067707,
