nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,10,0,False,,0.0,0.0,0.0,2,2,1,3616,237,,4.964843000052497,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,11,0,False,,0.0,0.0,0.0,2,2,1,3578,311,,5.336219292017631,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,6,0,,,0.0,0.0,0.0,2,2,1,3787,345,,9.908872042084113,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,7,0,,,0.0,0.0,0.0,2,2,1,3821,357,,9.116413041949272,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,5,0,False,,0.0,0.0,0.0,2,2,1,3770,295,,8.419372707954608,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,6,0,,,0.0,0.0,0.0,2,2,1,3862,306,,8.620884416042827,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,wrong_id,modify_load: bus_id intended 11 != executed 10,wrong_unflagged,False,formulation,False,True,text,True,,0,True,6,0,,,0.0005787819481880405,1.2242773322265237,,2,2,1,3882,552,,10.66250299999956,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,10,0,False,,0.0,0.0,0.0,2,2,1,3576,349,,7.152309124940075,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,6,0,,,0.0,0.0,0.0,2,2,1,3853,379,,7.2576855410588905,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,wrong_id,modify_load: bus_id intended 2 != executed 1,wrong_unflagged,False,formulation,False,True,text,True,,0,True,5,0,,,7.589946216206884e-06,0.6063638589902272,,2,2,1,3812,434,,7.570955040981062,
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,11,0,False,,0.0,0.0,0.0,2,5,1,8853,448,,9.86056912492495,
12,case14-multistep-006-s0,multistep,converged,"Load the 14-bus test case (case14), set the active load at bus 4 to 42.7 MW, disconnect the line between bus 3 and bus 4, reconnect the line between bus 3 and bus 4, and finally rerun the power flow, then list every line whose loading is above 80%.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,7,0,False,,0.0,0.0,0.0,2,6,1,12392,496,,10.026491457945667,
13,case14-multistep-010-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 5, disconnect the line between bus 1 and bus 2, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,6,0,False,,0.0,0.0,0.0,2,5,1,9131,447,,10.847181709017605,
14,case14-multistep-014-s0,multistep,converged,"Load case14, set the active load at bus 13 to 18.9 MW, set the active load at bus 4 to 59.1 MW, set the active load at bus 9 to 23.2 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,5,0,,,0.0,0.0,0.0,2,6,1,12270,424,,8.337845583911985,
15,case14-multistep-018-s0,multistep,converged,"Load the IEEE 14-bus system, disconnect the line between bus 4 and bus 5, then rerun the power flow, then list every line whose loading is above 90%.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,12,0,False,,0.0,0.0,0.0,2,4,1,6441,452,,9.71378183295019,
16,case14-multistep-022-s0,multistep,converged,"Load case14, disconnect the line between bus 9 and bus 10, set the active load at bus 3 to 118.6 MW, set the active load at bus 4 to 53.6 MW, and finally run an N-1 contingency analysis ranked by max violations and report the 8 worst outages.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,22,0,False,,0.0,0.0,0.0,2,5,1,17559,837,,16.442701125051826,
17,case14-multistep-026-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 4, then rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,5,0,False,,0.0,0.0,0.0,2,4,1,6597,354,,9.804058167035691,
18,case14-multistep-030-s0,multistep,converged,"Load case14, set the active load at bus 14 to 17.2 MW, disconnect the line between bus 1 and bus 5, reconnect the line between bus 1 and bus 5, and finally run an N-1 contingency analysis ranked by min voltage and report the 8 worst outages.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,False,,0,False,14,0,True,,0.0,0.0,0.0,2,5,1,17607,926,,13.619221375091001,
19,case14-multistep-034-s0,multistep,converged,"Load case14, disconnect the line between bus 2 and bus 5, set the active load at bus 9 to 19.9 MW, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,7,0,False,,0.0,0.0,0.0,2,5,1,9385,429,,7.4389722920022905,
20,case14-multistep-038-s0,multistep,converged,"Load the IEEE 14-bus system, set the active load at bus 6 to 7 MW, set the active load at bus 4 to 40.3 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,5,0,,,0.0,0.0,0.0,2,5,1,9629,430,,8.161049916991033,
21,case14-parameterized-001-s0,parameterized,converged,Load the IEEE 14-bus system and run an N-1 contingency analysis ranked by min voltage and report the 3 worst outages.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,10,0,,,0.0,0.0,0.0,2,3,1,8710,649,,12.69908483303152,
22,case14-parameterized-005-s0,parameterized,converged,Load the IEEE 14-bus system and disconnect the line between bus 4 and bus 5.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,11,0,False,,0.0,0.0,0.0,2,2,1,3628,321,,5.981915583950467,
23,case14-parameterized-009-s0,parameterized,converged,Load the 14-bus test case (case14) and run an N-1 contingency analysis ranked by max violations and report the 3 worst outages.,False,invalid_value,"run_n1_contingency: criteria='max violations' not in ['max_violations', 'max_overload', 'min_voltage'] (tool falls back to its default)",wrong_unflagged,False,formulation,False,True,text,True,,0,True,10,0,,,0.0,0.0,,2,3,1,8781,492,,8.68923612497747,
24,case14-parameterized-013-s0,parameterized,converged,Load the 14-bus test case (case14) and disconnect the line between bus 13 and bus 14.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,7,0,False,,0.0,0.0,0.0,2,2,1,3760,308,,7.651777958963066,
25,case14-parameterized-017-s0,parameterized,converged,Load case14 and run an N-1 contingency analysis ranked by max violations and report the 8 worst outages.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,20,0,,,0.0,0.0,0.0,2,3,1,12159,910,,15.166246292064898,
26,case14-parameterized-021-s0,parameterized,converged,Load case14 and run an N-1 contingency analysis ranked by max violations and report the 3 worst outages.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,10,0,,,0.0,0.0,0.0,2,3,1,8711,669,,13.74266016704496,
27,case14-parameterized-025-s0,parameterized,converged,Load case14 and disconnect the line between bus 9 and bus 10.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,5,0,False,,0.0,0.0,0.0,2,2,1,3678,289,,6.379083375097252,
