nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.0039031252925258997,2.122783007752772,2.099626580383848,1,0,0,2029,771,0.0166375,7.240671157836914,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.008984621353496416,9.86598658803415,22.35377937008646,1,0,0,2043,771,0.0166725,7.0301549434661865,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,71,71,,,0.00042671858669780197,2.248336645786762,1.903952112355983,1,0,0,2034,771,0.016649999999999998,6.626076936721802,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,71,71,,,0.0005023853158166684,7.00867338466463,18.898760815264893,1,0,0,2044,771,0.016675,6.726714134216309,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.004644593723774586,2.789826922977511,2.4966440581112996,1,0,0,2043,771,0.0166725,6.190967798233032,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,71,71,,,0.0003959026429357003,1.9141624498766556,1.2996226961369333,1,0,0,2043,771,0.0166725,6.313140153884888,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,71,49,,,0.0004571882307671249,1.2266869318192528,1.6004546741863357,1,0,0,2043,771,0.0166725,9.602328062057495,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.01586179277822026,2.4269251418405027,4.107077949898184,1,0,0,2029,773,0.016667500000000002,9.75183892250061,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,71,71,,,0.0006142640810890791,0.8345371843678825,1.0803057794879523,1,0,0,2044,774,0.01672,9.07064175605774,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,71,49,,,0.0004417688123449702,8.049247596051377,22.042097573137223,1,0,0,2045,770,0.0166625,6.870532035827637,
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.02008794604971515,12.024333584003356,22.33927695313619,1,0,0,2070,772,0.016755,6.998766899108887,
12,case14-multistep-006-s0,multistep,converged,"Load the 14-bus test case (case14), set the active load at bus 4 to 42.7 MW, disconnect the line between bus 3 and bus 4, reconnect the line between bus 3 and bus 4, and finally rerun the power flow, then list every line whose loading is above 80%.",,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,71,71,,,0.0004883436067834987,7.6820724493948,20.054847022428085,1,0,0,2085,772,0.016792500000000002,6.972488880157471,
13,case14-multistep-010-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 5, disconnect the line between bus 1 and bus 2, and finally rerun the power flow, then list every line whose loading is above 100%.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.008044090607039969,28.87196682613947,20.248537665233297,1,0,0,2070,772,0.016755,6.094389200210571,
14,case14-multistep-014-s0,multistep,converged,"Load case14, set the active load at bus 13 to 18.9 MW, set the active load at bus 4 to 59.1 MW, set the active load at bus 9 to 23.2 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",,,no tool stage,solved,True,numeric_and_answer_ok,False,False,json,False,,,False,71,70,,,0.0009589903610583507,7.1835151195867635,13.072952655941528,1,0,0,2082,770,0.016755,6.319717884063721,
15,case14-multistep-018-s0,multistep,converged,"Load the IEEE 14-bus system, disconnect the line between bus 4 and bus 5, then rerun the power flow, then list every line whose loading is above 90%.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.014100988216740227,13.051960455701552,16.052136458095653,1,0,0,2054,771,0.0167,6.447029113769531,
16,case14-multistep-022-s0,multistep,converged,"Load case14, disconnect the line between bus 9 and bus 10, set the active load at bus 3 to 118.6 MW, set the active load at bus 4 to 53.6 MW, and finally run an N-1 contingency analysis ranked by max violations and report the 8 worst outages.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.004013759742755386,5.024023327059493,3.390326986720661,1,0,0,2082,772,0.016785,7.551753044128418,
17,case14-multistep-026-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 4, then rerun the power flow, then report the bus with the lowest voltage magnitude.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.004969798534711927,6.854166217563865,10.706933438557682,1,0,0,2056,774,0.01675,6.049103260040283,
