nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,6,6,,,,,,1,0,0,2733,377,0.00063615,5.6340649127960205,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,6,6,,,,,,1,0,0,2747,435,0.0006730499999999999,7.8594300746917725,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,5,5,,,,,,1,0,0,2738,326,0.0006063,3.5152089595794678,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,5,3,,,,,,1,0,0,2748,433,0.000672,6.2539801597595215,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,6,6,,,,,,1,0,0,2747,458,0.0006868499999999999,4.093404054641724,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,,unparsed,ValueError: json_parse_failed,wrong_unflagged,False,run_failed,False,True,text,False,,,False,74,62,,,,,,1,0,0,2747,1146,0.00109965,17.366374015808105,ValueError: json_parse_failed
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,unparsed,no formulation field in the answer: no tool calls could be formulated,wrong_unflagged,False,convergence_mismatch,False,True,text,True,,,True,5,0,,,,,,1,0,0,2747,321,0.00060465,6.018638849258423,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,6,6,,,,,,1,0,0,2733,438,0.00067275,6.037273168563843,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,6,3,,,,,,1,0,0,2748,378,0.000639,6.992898941040039,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,wrong_id,declared formulation: modify_load: bus_id intended 2 != executed 1,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,9,3,,,,,,1,0,0,2749,479,0.0006997500000000001,7.745678186416626,
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2774,398,0.0006548999999999999,6.886063814163208,
12,case14-multistep-006-s0,multistep,converged,"Load the 14-bus test case (case14), set the active load at bus 4 to 42.7 MW, disconnect the line between bus 3 and bus 4, reconnect the line between bus 3 and bus 4, and finally rerun the power flow, then list every line whose loading is above 80%.",,unparsed,ValueError: json_parse_failed,wrong_unflagged,False,run_failed,False,True,text,False,,,False,76,72,,,,,,1,0,0,2789,1264,0.0011767499999999998,13.892775058746338,ValueError: json_parse_failed
13,case14-multistep-010-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 5, disconnect the line between bus 1 and bus 2, and finally rerun the power flow, then list every line whose loading is above 100%.",False,wrong_id,declared formulation: disconnect_line: from_bus intended 2 != executed 1; disconnect_line: to_bus intended 5 != executed 2,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,6,5,,,,,,1,0,0,2774,411,0.0006627,5.45255184173584,
14,case14-multistep-014-s0,multistep,converged,"Load case14, set the active load at bus 13 to 18.9 MW, set the active load at bus 4 to 59.1 MW, set the active load at bus 9 to 23.2 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",False,unparsed,no formulation field in the answer: no tool calls could be formulated,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,67,61,,,0.0295000339742861,30.010119981186072,13.614466951354112,1,0,0,2786,1164,0.0011163,18.90628480911255,
15,case14-multistep-018-s0,multistep,converged,"Load the IEEE 14-bus system, disconnect the line between bus 4 and bus 5, then rerun the power flow, then list every line whose loading is above 90%.",False,unparsed,no formulation field in the answer: no tool calls could be formulated,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,62,61,,,0.025585569902682872,29.812079048102934,9.572405737248525,1,0,0,2758,1274,0.0011780999999999999,20.73050093650818,
16,case14-multistep-022-s0,multistep,converged,"Load case14, disconnect the line between bus 9 and bus 10, set the active load at bus 3 to 118.6 MW, set the active load at bus 4 to 53.6 MW, and finally run an N-1 contingency analysis ranked by max violations and report the 8 worst outages.",False,missed_step,"declared formulation: tool sequence differs: intended=['disconnect_line', 'modify_load', 'modify_load', 'run_n1_contingency'] executed=['modify_load', 'modify_load', 'disconnect_line', 'run_n1_contingency']",wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,12,8,,,,,,1,0,0,2786,545,0.0007449,5.705843925476074,
17,case14-multistep-026-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 4, then rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,6,6,,,,,,1,0,0,2760,364,0.0006324,4.546684980392456,
18,case14-multistep-030-s0,multistep,converged,"Load case14, set the active load at bus 14 to 17.2 MW, disconnect the line between bus 1 and bus 5, reconnect the line between bus 1 and bus 5, and finally run an N-1 contingency analysis ranked by min voltage and report the 8 worst outages.",True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,6,3,,,,,,1,0,0,2783,530,0.0007354499999999999,8.10516095161438,
19,case14-multistep-034-s0,multistep,converged,"Load case14, disconnect the line between bus 2 and bus 5, set the active load at bus 9 to 19.9 MW, and finally rerun the power flow, then list every line whose loading is above 100%.",False,unparsed,no formulation field in the answer: no tool calls could be formulated,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,5,4,,,,,,1,0,0,2769,338,0.00061815,4.403141021728516,
20,case14-multistep-038-s0,multistep,converged,"Load the IEEE 14-bus system, set the active load at bus 6 to 7 MW, set the active load at bus 4 to 40.3 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,7,3,,,,,,1,0,0,2774,374,0.0006405,6.800612926483154,
21,case14-parameterized-001-s0,parameterized,converged,Load the IEEE 14-bus system and run an N-1 contingency analysis ranked by min voltage and report the 3 worst outages.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,6,6,,,,,,1,0,0,2747,495,0.0007090499999999999,5.678228378295898,
22,case14-parameterized-005-s0,parameterized,converged,Load the IEEE 14-bus system and disconnect the line between bus 4 and bus 5.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2740,416,0.0006605999999999999,6.665745973587036,
23,case14-parameterized-009-s0,parameterized,converged,Load the 14-bus test case (case14) and run an N-1 contingency analysis ranked by max violations and report the 3 worst outages.,False,invalid_value,"declared formulation: run_n1_contingency: criteria='max violations' not in ['max_violations', 'max_overload', 'min_voltage'] (tool falls back to its default); run_n1_contingency: max_candidates=10 scans only 10 of 20 branches, so the ranking is over a sample and not the network (request did not ask for it)",wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,6,6,,,,,,1,0,0,2751,497,0.0007108500000000001,6.088593006134033,
24,case14-parameterized-013-s0,parameterized,converged,Load the 14-bus test case (case14) and disconnect the line between bus 13 and bus 14.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2744,405,0.0006546,6.821785926818848,
25,case14-parameterized-017-s0,parameterized,converged,Load case14 and run an N-1 contingency analysis ranked by max violations and report the 8 worst outages.,False,invalid_value,"declared formulation: run_n1_contingency: criteria='max violations' not in ['max_violations', 'max_overload', 'min_voltage'] (tool falls back to its default)",wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2742,513,0.0007191000000000001,5.091237306594849,
26,case14-parameterized-021-s0,parameterized,converged,Load case14 and run an N-1 contingency analysis ranked by max violations and report the 3 worst outages.,False,invalid_value,"declared formulation: run_n1_contingency: criteria='max violations' not in ['max_violations', 'max_overload', 'min_voltage'] (tool falls back to its default)",escalated,False,convergence_mismatch,True,False,json,False,,,False,3,3,,,,,,1,0,0,2742,521,0.0007239,7.71402907371521,
