nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2223,48,0.00036225,0.8848042488098145,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2237,48,0.00036434999999999994,1.874572992324829,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,False,,,False,1,1,,,,,,1,0,0,2228,52,0.0003654,2.063749074935913,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,1,0,,,,,,1,0,0,2238,52,0.0003669,1.0776689052581787,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2237,48,0.00036434999999999994,1.5000827312469482,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,1,0,,,,,,1,0,0,2237,55,0.00036854999999999993,1.6843891143798828,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,wrong_id,declared formulation: modify_load: bus_id intended 11 != executed 10,wrong_unflagged,False,run_failed,False,True,text,True,,,True,1,0,,,,,,1,0,0,2237,55,0.00036854999999999993,1.1041836738586426,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2223,48,0.00036225,2.287703037261963,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,True,ok,declared formulation: ,wrong_unflagged,False,run_failed,False,True,text,True,,,True,1,0,,,,,,1,0,0,2238,52,0.0003669,1.0556657314300537,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,wrong_id,declared formulation: modify_load: bus_id intended 2 != executed 1,wrong_unflagged,False,run_failed,False,True,text,True,,,True,0,0,,,,,,1,0,0,2239,50,0.00036585000000000003,1.5387470722198486,
