nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,4,0,False,,0.0,0.0,0.0,3,2,2,5153,271,0.013016,18.08526287501445,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,6,0,False,,0.0,0.0,0.0,3,2,2,5129,289,0.013148,18.20166441699257,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",False,extra_arg_changes_result,modify_load: extra argument q_mvar=7.5 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,False,,0,False,7,1,False,,0.0,0.0,,4,3,3,6433,556,0.018426,25.391162291984074,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=1.6 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,7,0,False,,1.0964523878672797e-05,0.0013627836702001838,,4,3,3,6611,609,0.019312,36.142752334009856,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,4,0,False,,0.0,0.0,0.0,3,2,2,5321,217,0.012812,15.61417470802553,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=1.6 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,7,0,False,,5.8465495596595114e-06,0.0007405084679230201,,3,2,2,5397,512,0.015913999999999998,28.46624833298847,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=1.8 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,5,0,False,,3.3973292379640974e-05,0.0017968029836731233,,5,4,4,13019,1203,0.038068,79.8185354169691,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,9,0,False,,0.0,0.0,0.0,3,2,2,5113,298,0.013206,23.708788832998835,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=1.6 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,False,,0,False,7,1,False,,1.0391075417258224e-05,0.001277415440764507,,4,3,3,6660,682,0.020139999999999998,38.09424745896831,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=12.7 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,5,0,False,,0.0,0.0,,5,4,4,12899,735,0.033148000000000004,60.864739791024476,
