nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,61,,,0.0266683032789027,35.44504112600653,12.453754638835948,1,0,0,2658,1126,0.0010743,12.613812923431396,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,52,,,0.019954287334045688,37.92893749701837,12.748309942778953,1,0,0,2672,1126,0.0010764,11.23607873916626,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",,unparsed,ValueError: json_parse_failed,wrong_unflagged,False,run_failed,False,True,text,False,,,False,72,72,,,,,,1,0,0,2663,1191,0.0011140500000000001,12.7238929271698,ValueError: json_parse_failed
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,62,61,,,0.028717886650571574,37.11587229777634,13.231520927992582,1,0,0,2673,1130,0.00107895,11.515368938446045,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,52,,,0.027152789907366328,37.6230580960708,13.327686193832923,1,0,0,2672,931,0.0009593999999999999,10.941843032836914,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,62,52,,,0.028604212646853342,38.2673495894339,13.112311014965316,1,0,0,2672,1133,0.0010806,13.38611102104187,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,wrong_id,declared formulation: modify_load: bus_id intended 11 != executed 10,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,62,32,,,0.029242902516481397,28.554797000162218,13.09742889703322,1,0,0,2672,1134,0.0010812,12.396732091903687,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,61,,,0.025114497708028222,36.14163266013974,12.241593272411594,1,0,0,2658,1126,0.0010743,11.788571119308472,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,62,61,,,0.028458307073140503,35.92039385318239,12.590204694825784,1,0,0,2673,1130,0.00107895,12.49935793876648,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,wrong_id,declared formulation: modify_load: bus_id intended 2 != executed 1,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,62,19,,,0.028424512606260492,34.832776058837744,13.241961217829006,1,0,0,2674,1131,0.0010797,11.345144748687744,
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,60,,,0.026501108422487634,29.128224883820508,11.237333476196097,1,0,0,2699,959,0.00098025,11.083324909210205,
12,case14-multistep-006-s0,multistep,converged,"Load the 14-bus test case (case14), set the active load at bus 4 to 42.7 MW, disconnect the line between bus 3 and bus 4, reconnect the line between bus 3 and bus 4, and finally rerun the power flow, then list every line whose loading is above 80%.",True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,62,60,,,0.02927405789249777,34.25609345585929,12.086774558682778,1,0,0,2714,985,0.0009981,12.742587804794312,
13,case14-multistep-010-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 5, disconnect the line between bus 1 and bus 2, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,50,,,0.035005701117403594,40.41238489439752,14.586398239769563,1,0,0,2699,1162,0.00110205,11.852596998214722,
14,case14-multistep-014-s0,multistep,converged,"Load case14, set the active load at bus 13 to 18.9 MW, set the active load at bus 4 to 59.1 MW, set the active load at bus 9 to 23.2 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,64,60,,,0.03709832445657494,31.03499293192655,13.647635326152857,1,0,0,2711,1208,0.00113145,12.384739875793457,
