nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,,True,3,0,False,,0.0,0.0,0.0,0,2,1,0,0,0.0,0.29976791696390137,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,,True,3,0,False,,0.0,0.0,0.0,0,2,1,0,0,0.0,0.24058683298062533,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",False,unparsed,no tool calls could be formulated,escalated,False,run_failed,True,False,text,True,,,True,0,0,,,,,,0,0,0,0,0,0.0,4.487502155825496e-05,RuntimeError: formulation_failure: no tool calls could be formulated
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,,True,3,0,False,,0.0,0.0,0.0,0,2,1,0,0,0.0,0.23781266703736037,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,,True,3,0,False,,0.0,0.0,0.0,0,2,1,0,0,0.0,0.22463158296886832,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,,True,3,0,False,,0.0,0.0,0.0,0,2,1,0,0,0.0,0.20440254104323685,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,wrong_id,modify_load: bus_id intended 11 != executed 10,wrong_unflagged,False,formulation,False,True,text,True,,,True,3,0,False,,0.0005787819481880405,1.2242773322265237,,0,2,1,0,0,0.0,0.2265332080423832,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,,True,3,0,False,,0.0,0.0,0.0,0,2,1,0,0,0.0,0.25721274997340515,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,,True,3,0,False,,0.0,0.0,0.0,0,2,1,0,0,0.0,0.2533074580132961,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,wrong_id,modify_load: bus_id intended 2 != executed 1,wrong_unflagged,False,formulation,False,True,text,True,,,True,3,0,False,,7.589946216206884e-06,0.6063638589902272,,0,2,1,0,0,0.0,0.2425277919974178,
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,wrong_unflagged,False,answer_mismatch,False,True,text,True,,,True,10,0,False,,0.0,0.0,0.0,0,4,1,0,0,0.0,0.588628040975891,
12,case14-multistep-006-s0,multistep,converged,"Load the 14-bus test case (case14), set the active load at bus 4 to 42.7 MW, disconnect the line between bus 3 and bus 4, reconnect the line between bus 3 and bus 4, and finally rerun the power flow, then list every line whose loading is above 80%.",True,ok,,wrong_unflagged,False,answer_mismatch,False,True,text,True,,,True,13,0,False,,0.0,0.0,0.0,0,5,1,0,0,0.0,0.2639623340219259,
13,case14-multistep-010-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 5, disconnect the line between bus 1 and bus 2, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,wrong_unflagged,False,answer_mismatch,False,True,text,True,,,True,10,0,False,,0.0,0.0,0.0,0,4,1,0,0,0.0,0.2495962909888476,
14,case14-multistep-014-s0,multistep,converged,"Load case14, set the active load at bus 13 to 18.9 MW, set the active load at bus 4 to 59.1 MW, set the active load at bus 9 to 23.2 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,,True,13,0,False,,0.0,0.0,0.0,0,5,1,0,0,0.0,0.3054920420399867,
15,case14-multistep-018-s0,multistep,converged,"Load the IEEE 14-bus system, disconnect the line between bus 4 and bus 5, then rerun the power flow, then list every line whose loading is above 90%.",True,ok,,wrong_unflagged,False,answer_mismatch,False,True,text,True,,,True,7,0,False,,0.0,0.0,0.0,0,3,1,0,0,0.0,0.2438948749913834,
16,case14-multistep-022-s0,multistep,converged,"Load case14, disconnect the line between bus 9 and bus 10, set the active load at bus 3 to 118.6 MW, set the active load at bus 4 to 53.6 MW, and finally run an N-1 contingency analysis ranked by max violations and report the 8 worst outages.",False,unparsed,no tool calls could be formulated,escalated,False,run_failed,True,False,text,True,,,True,0,0,,,,,,0,0,0,0,0,0.0,5.4957985412329435e-05,RuntimeError: formulation_failure: no tool calls could be formulated
17,case14-multistep-026-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 4, then rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,,True,7,0,False,,0.0,0.0,0.0,0,3,1,0,0,0.0,0.22033637500135228,
18,case14-multistep-030-s0,multistep,converged,"Load case14, set the active load at bus 14 to 17.2 MW, disconnect the line between bus 1 and bus 5, reconnect the line between bus 1 and bus 5, and finally run an N-1 contingency analysis ranked by min voltage and report the 8 worst outages.",False,unparsed,no tool calls could be formulated,escalated,False,run_failed,True,False,text,True,,,True,0,0,,,,,,0,0,0,0,0,0.0,6.133300485089421e-05,RuntimeError: formulation_failure: no tool calls could be formulated
19,case14-multistep-034-s0,multistep,converged,"Load case14, disconnect the line between bus 2 and bus 5, set the active load at bus 9 to 19.9 MW, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,wrong_unflagged,False,answer_mismatch,False,True,text,True,,,True,10,0,False,,0.0,0.0,0.0,0,4,1,0,0,0.0,0.28590116696432233,
20,case14-multistep-038-s0,multistep,converged,"Load the IEEE 14-bus system, set the active load at bus 6 to 7 MW, set the active load at bus 4 to 40.3 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,,True,10,0,False,,0.0,0.0,0.0,0,4,1,0,0,0.0,0.25899541698163375,
21,case14-parameterized-001-s0,parameterized,converged,Load the IEEE 14-bus system and run an N-1 contingency analysis ranked by min voltage and report the 3 worst outages.,False,unparsed,no tool calls could be formulated,escalated,False,run_failed,True,False,text,True,,,True,0,0,,,,,,0,0,0,0,0,0.0,0.00013229099567979574,RuntimeError: formulation_failure: no tool calls could be formulated
22,case14-parameterized-005-s0,parameterized,converged,Load the IEEE 14-bus system and disconnect the line between bus 4 and bus 5.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,,True,3,0,False,,0.0,0.0,0.0,0,2,1,0,0,0.0,0.3642802499816753,
