nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.0019228657051049147,0.7991619606738073,0.12925811690971256,1,0,0,2003,7481,0.078816,120.20941805839539,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.005211319023343193,0.7805432365251175,0.15457289957045628,1,0,0,2017,11075,0.114784,187.35931396484375,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,71,71,,,0.00036766106084413456,0.19469466071038244,0.02181470258745871,1,0,0,2008,9020,0.09421600000000001,135.13470721244812,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,71,71,,,0.0008464580791430119,0.10755520017765281,0.011783606950037662,1,0,0,2018,7825,0.082286,118.55331420898438,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,69,,,0.0027385041930806536,0.7599582872713195,0.24918040713362838,1,0,0,2017,8934,0.09337399999999998,152.43155813217163,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.0014899269325676328,0.06679965562757462,0.06227234061285877,1,0,0,2017,6751,0.071544,244.51802706718445,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,,,no tool stage,solved,True,numeric_and_answer_ok,False,False,json,False,,,False,71,48,,,0.0002860265063829859,0.0839580053718674,0.0019108533822384233,1,0,0,2017,6990,0.07393399999999999,104.73173689842224,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,70,,,0.0019569308634004618,0.686271832057351,0.18599226510368252,1,0,0,2003,10197,0.10597599999999999,184.3589963912964,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,,,no tool stage,solved,True,numeric_and_answer_ok,False,False,json,False,,,False,71,71,,,0.000631662228017249,0.1858264202623074,0.04241493137732783,1,0,0,2018,7053,0.07456600000000001,102.83793306350708,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,49,,,0.001146915965168154,1.1213756078299935,0.947132861984245,1,0,0,2019,8544,0.08947799999999999,363.92488193511963,
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.005716309268161872,0.8651680036388131,0.052634994274837116,1,0,0,2044,10740,0.11148799999999999,185.02032804489136,
12,case14-multistep-006-s0,multistep,converged,"Load the 14-bus test case (case14), set the active load at bus 4 to 42.7 MW, disconnect the line between bus 3 and bus 4, reconnect the line between bus 3 and bus 4, and finally rerun the power flow, then list every line whose loading is above 80%.",,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,71,71,,,0.00018310329994024915,0.1418244473719626,0.12100736038667939,1,0,0,2059,7506,0.079178,111.25921583175659,
13,case14-multistep-010-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 5, disconnect the line between bus 1 and bus 2, and finally rerun the power flow, then list every line whose loading is above 100%.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,70,,,0.0075466406623438875,1.7334667674884443,0.20441499422678555,1,0,0,2044,9040,0.09448799999999999,157.34015917778015,
14,case14-multistep-014-s0,multistep,converged,"Load case14, set the active load at bus 13 to 18.9 MW, set the active load at bus 4 to 59.1 MW, set the active load at bus 9 to 23.2 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,70,,,0.0022793224062604028,0.18372958796694305,0.06804080853435682,1,0,0,2056,8317,0.087282,121.80847001075745,
15,case14-multistep-018-s0,multistep,converged,"Load the IEEE 14-bus system, disconnect the line between bus 4 and bus 5, then rerun the power flow, then list every line whose loading is above 90%.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.0030325654058683655,1.8872716019039886,0.7571808578051576,1,0,0,2028,10547,0.10952600000000001,172.83767461776733,
16,case14-multistep-022-s0,multistep,converged,"Load case14, disconnect the line between bus 9 and bus 10, set the active load at bus 3 to 118.6 MW, set the active load at bus 4 to 53.6 MW, and finally run an N-1 contingency analysis ranked by max violations and report the 8 worst outages.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,69,,,0.0040031474854394745,0.7989834689206168,0.413133200507582,1,0,0,2056,8763,0.091742,229.30969309806824,
17,case14-multistep-026-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 4, then rerun the power flow, then report the bus with the lowest voltage magnitude.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.004399219817087447,1.3757739676994016,0.4410511071835191,1,0,0,2030,9355,0.09761,162.5862100124359,
18,case14-multistep-030-s0,multistep,converged,"Load case14, set the active load at bus 14 to 17.2 MW, disconnect the line between bus 1 and bus 5, reconnect the line between bus 1 and bus 5, and finally run an N-1 contingency analysis ranked by min voltage and report the 8 worst outages.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.002725961613148626,0.1815936332035502,0.0004826380086923129,1,0,0,2053,11818,0.122286,182.98505401611328,
19,case14-multistep-034-s0,multistep,converged,"Load case14, disconnect the line between bus 2 and bus 5, set the active load at bus 9 to 19.9 MW, and finally rerun the power flow, then list every line whose loading is above 100%.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,70,,,0.002045853742276758,0.9741878811294903,0.4893526439828816,1,0,0,2039,17824,0.182318,307.50966000556946,
20,case14-multistep-038-s0,multistep,converged,"Load the IEEE 14-bus system, set the active load at bus 6 to 7 MW, set the active load at bus 4 to 40.3 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,70,,,0.001321171505144785,0.24245081190159165,0.07237541906672498,1,0,0,2044,9500,0.099088,150.39402723312378,
21,case14-parameterized-001-s0,parameterized,converged,Load the IEEE 14-bus system and run an N-1 contingency analysis ranked by min voltage and report the 3 worst outages.,,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,71,71,,,0.0007081144744303103,0.25090041392665907,0.030102104404015985,1,0,0,2017,6481,0.06884399999999999,106.94393587112427,
22,case14-parameterized-005-s0,parameterized,converged,Load the IEEE 14-bus system and disconnect the line between bus 4 and bus 5.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.0036799504593382055,1.513170925214117,0.17763237097436843,1,0,0,2010,10610,0.11012,175.61836194992065,
23,case14-parameterized-009-s0,parameterized,converged,Load the 14-bus test case (case14) and run an N-1 contingency analysis ranked by max violations and report the 3 worst outages.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.0010261975444829494,0.24016077796894644,0.3313602859728372,1,0,0,2021,5869,0.062732,85.97801899909973,
24,case14-parameterized-013-s0,parameterized,converged,Load the 14-bus test case (case14) and disconnect the line between bus 13 and bus 14.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,70,,,0.0016075363418752233,0.7054456637497227,0.11616683255696583,1,0,0,2014,9556,0.09958800000000001,143.0338010787964,
25,case14-parameterized-017-s0,parameterized,converged,Load case14 and run an N-1 contingency analysis ranked by max violations and report the 8 worst outages.,,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,71,71,,,0.00025264078695110193,0.376315365005131,0.30281719588080275,1,0,0,2012,6915,0.073174,116.89867877960205,
