nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,5,0,False,,0.0,0.0,0.0,2,2,1,4511,184,,3.20445895800367,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,5,0,False,,0.0,0.0,0.0,2,2,1,4473,179,,3.315074833924882,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,5,0,,,0.0,0.0,0.0,2,2,1,4678,202,,4.562857500044629,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,6,0,,,0.0,0.0,0.0,2,2,1,4712,205,,5.460320707992651,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,5,0,False,,0.0,0.0,0.0,2,2,1,4665,199,,3.1322364999214187,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,6,0,,,0.0,0.0,0.0,2,2,1,4747,200,,5.276307750027627,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,6,0,,,0.0,0.0,0.0,2,2,1,4753,207,,3.4904993328964338,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,5,0,False,,0.0,0.0,0.0,2,2,1,4471,189,,5.155863582971506,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,6,0,,,0.0,0.0,0.0,2,2,1,4744,207,,3.5753858329262584,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,6,0,,,0.0,0.0,0.0,2,2,1,4709,195,,5.224771667039022,
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,escalated,False,answer_mismatch,True,False,text,True,abstained,2,True,0,0,False,,0.0,0.0,0.0,4,4,2,22210,375,,6.892602999927476,
12,case14-multistep-006-s0,multistep,converged,"Load the 14-bus test case (case14), set the active load at bus 4 to 42.7 MW, disconnect the line between bus 3 and bus 4, reconnect the line between bus 3 and bus 4, and finally rerun the power flow, then list every line whose loading is above 80%.",True,ok,,escalated,False,answer_mismatch,True,False,text,True,abstained,2,True,0,0,False,,0.0,0.0,0.0,6,5,4,37152,392,,8.235491916071624,
13,case14-multistep-010-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 5, disconnect the line between bus 1 and bus 2, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,escalated,False,answer_mismatch,True,False,text,False,abstained,2,False,1,1,False,,0.0,0.0,0.0,4,4,2,23162,508,,8.605893375002779,
14,case14-multistep-014-s0,multistep,converged,"Load case14, set the active load at bus 13 to 18.9 MW, set the active load at bus 4 to 59.1 MW, set the active load at bus 9 to 23.2 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,escalated,False,answer_mismatch,True,False,text,True,abstained,2,True,0,0,,,0.0,0.0,0.0,4,5,2,31916,419,,6.947358582983725,
15,case14-multistep-018-s0,multistep,converged,"Load the IEEE 14-bus system, disconnect the line between bus 4 and bus 5, then rerun the power flow, then list every line whose loading is above 90%.",True,ok,,escalated,False,answer_mismatch,True,False,text,True,abstained,2,True,1,0,False,,0.0,0.0,0.0,6,4,4,19778,366,,8.28933829208836,
16,case14-multistep-022-s0,multistep,converged,"Load case14, disconnect the line between bus 9 and bus 10, set the active load at bus 3 to 118.6 MW, set the active load at bus 4 to 53.6 MW, and finally run an N-1 contingency analysis ranked by max violations and report the 8 worst outages.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,5,0,False,,0.0,0.0,0.0,4,5,3,28415,298,,8.969850125024095,
17,case14-multistep-026-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 4, then rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,escalated,False,answer_mismatch,True,False,text,True,abstained,2,True,0,0,False,,0.0,0.0,0.0,5,3,3,16265,352,,7.680778332985938,
18,case14-multistep-030-s0,multistep,converged,"Load case14, set the active load at bus 14 to 17.2 MW, disconnect the line between bus 1 and bus 5, reconnect the line between bus 1 and bus 5, and finally run an N-1 contingency analysis ranked by min voltage and report the 8 worst outages.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,5,0,False,,0.0,0.0,0.0,6,5,5,38750,230,,8.492067999904975,
19,case14-multistep-034-s0,multistep,converged,"Load case14, disconnect the line between bus 2 and bus 5, set the active load at bus 9 to 19.9 MW, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,escalated,False,answer_mismatch,True,False,text,True,abstained,2,True,0,0,False,,0.0,0.0,0.0,4,4,2,23448,424,,7.034819082939066,
20,case14-multistep-038-s0,multistep,converged,"Load the IEEE 14-bus system, set the active load at bus 6 to 7 MW, set the active load at bus 4 to 40.3 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,escalated,False,answer_mismatch,True,False,text,True,abstained,2,True,0,0,,,0.0,0.0,0.0,4,4,2,24081,445,,10.840934250038117,
21,case14-parameterized-001-s0,parameterized,converged,Load the IEEE 14-bus system and run an N-1 contingency analysis ranked by min voltage and report the 3 worst outages.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,8,0,,,0.0,0.0,0.0,3,2,2,7919,331,,6.696287041995674,
22,case14-parameterized-005-s0,parameterized,converged,Load the IEEE 14-bus system and disconnect the line between bus 4 and bus 5.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,5,0,False,,0.0,0.0,0.0,2,2,1,4517,192,,4.281691166921519,
23,case14-parameterized-009-s0,parameterized,converged,Load the 14-bus test case (case14) and run an N-1 contingency analysis ranked by max violations and report the 3 worst outages.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,8,0,,,0.0,0.0,0.0,3,2,2,7955,328,,5.32873887498863,
24,case14-parameterized-013-s0,parameterized,converged,Load the 14-bus test case (case14) and disconnect the line between bus 13 and bus 14.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,5,0,False,,0.0,0.0,0.0,2,2,1,4655,196,,3.65839324996341,
25,case14-parameterized-017-s0,parameterized,converged,Load case14 and run an N-1 contingency analysis ranked by max violations and report the 8 worst outages.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,8,0,,,0.0,0.0,0.0,3,2,2,11355,389,,6.417812666972168,
26,case14-parameterized-021-s0,parameterized,converged,Load case14 and run an N-1 contingency analysis ranked by max violations and report the 3 worst outages.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,8,0,,,0.0,0.0,0.0,3,2,2,7918,351,,7.02646216598805,
