nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,14,0,False,,0.0,0.0,0.0,2,2,1,3490,382,0.014454999999999999,5.097209249972366,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,13,0,False,,0.0,0.0,0.0,2,2,1,3452,377,0.014285,6.485367708024569,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",False,extra_arg_changes_result,modify_load: extra argument q_mvar=11.2 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,6,0,False,,9.516197353929913e-17,5.005105835483605e-14,,2,2,1,3660,248,0.01287,6.940896250016522,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=0.0 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,7,0,False,,0.00011768529417613813,0.01461594039152311,,2,2,1,3683,292,0.0135875,7.880829792004079,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,16,0,False,,0.0,0.0,0.0,2,2,1,3644,418,0.015380000000000001,4.60623062500963,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=0.0 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,15,0,False,,0.00012307062954611654,0.01557596236391116,,2,2,1,3726,424,0.015675,5.98928329104092,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,wrong_id,modify_load: bus_id intended 11 != executed 10; modify_load: extra argument q_mvar=0.0 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,15,0,False,,0.0022736532446958613,1.2370742221639635,,2,2,1,3730,411,0.01549,5.557934166979976,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,13,0,False,,0.0,0.0,0.0,2,2,1,3450,349,0.01386,11.54824329103576,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=0.0 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,15,0,False,,0.00013916977860642783,0.017095461939487612,,2,2,1,3714,408,0.015404999999999999,4.660470624978188,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,wrong_id,modify_load: bus_id intended 2 != executed 1; modify_load: extra argument q_mvar=0.0 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,6,0,False,,7.589946216206884e-06,0.6063638589902272,,2,2,1,3669,259,0.0130575,4.8879253329942,
