nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,False,missed_step,missing tools: ['disconnect_line'],wrong_unflagged,False,formulation,False,True,text,True,,0,True,2,0,,,0.0020484717640715244,1.3851212141829574,,2,1,1,4626,264,,6.887606333009899,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,False,missed_step,missing tools: ['disconnect_line'],wrong_unflagged,False,formulation,False,True,text,True,,0,True,2,0,,,0.008987211139203255,3.8007877074122414,,2,1,1,4654,245,,7.579468082985841,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",False,missed_step,missing tools: ['modify_load'],wrong_unflagged,False,formulation,False,True,text,False,,0,False,3,1,,,0.00015429937613786748,0.8184943963966618,,2,1,1,4632,261,,7.1880174580728635,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,False,missed_step,missing tools: ['modify_load'],wrong_unflagged,False,formulation,False,True,text,True,,0,True,4,0,,,7.50651459919657e-05,0.2836023417925534,,2,1,1,4656,366,,9.447561332955956,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,False,missed_step,missing tools: ['disconnect_line'],wrong_unflagged,False,formulation,False,True,text,True,,0,True,2,0,,,0.004864156311244293,2.8864828032991667,,2,1,1,4650,236,,6.294098125072196,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,False,missed_step,missing tools: ['modify_load'],wrong_unflagged,False,formulation,False,True,text,True,,0,True,3,0,,,4.039034151094777e-05,0.15107224056751364,,2,1,1,4654,257,,12.947409583022818,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,missed_step,missing tools: ['modify_load'],wrong_unflagged,False,formulation,False,True,text,True,,0,True,3,0,,,0.0001443777385321532,0.3606626182983817,,2,1,1,4653,333,,7.803699957905337,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,False,missed_step,missing tools: ['disconnect_line'],wrong_unflagged,False,formulation,False,True,text,True,,0,True,2,0,,,0.004066198516406582,2.4502736010627735,,2,1,1,4622,255,,5.916184875066392,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,False,missed_step,missing tools: ['modify_load'],wrong_unflagged,False,formulation,False,True,text,True,,0,True,2,0,,,0.00013063552043957039,0.4901763938740712,,2,1,1,4656,328,,9.627877207938582,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,missed_step,missing tools: ['modify_load'],wrong_unflagged,False,formulation,False,True,text,True,,0,True,3,0,,,7.589946216206884e-06,0.6063638589902272,,2,1,1,4658,255,,6.505438624997623,
