nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-stress-000-s0,stress,islanded,Load the IEEE 14-bus system and disconnect the transformer branch between bus 7 and bus 8.,True,ok,,solved,True,declared_failure,False,False,text,False,,0,True,11,0,False,True,nan,0.0,0.0,3,2,2,4932,318,0.017099999999999997,7.428651208989322,
2,case14-stress-000-s1,stress,islanded,Load the IEEE 14-bus system and disconnect the transformer branch between bus 7 and bus 8.,True,ok,,solved,True,declared_failure,False,False,text,False,,0,True,8,0,False,True,nan,0.0,0.0,3,2,2,4894,302,0.016765,7.557955124997534,
3,case14-stress-001-s0,stress,islanded,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 4, disconnect the transformer branch between bus 7 and bus 8, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,solved,True,declared_failure,False,False,text,False,,0,False,12,2,False,True,nan,0.0,0.0,4,3,3,11016,365,0.033014999999999996,7.8910679160035215,
4,case14-stress-001-s1,stress,non_converged,"Load the 14-bus test case (case14), increase the load at bus 3 to 565.2 MW and 114 Mvar (six times its nominal value), increase the active load at bus 4 to 286.8 MW (six times its nominal value), and finally increase the load at bus 9 to 177 MW and 99.6 Mvar (six times its nominal value).",False,extra_arg_changes_result,modify_load: extra argument q_mvar=-3.9 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,False,,0,False,15,0,True,True,,,,6,5,5,28837,466,0.0790825,12.133990541973617,
5,case14-stress-002-s0,stress,islanded,"Load the 14-bus test case (case14), set the active load at bus 9 to 37.7 MW, disconnect the transformer branch between bus 7 and bus 8, and finally rerun the power flow, then list every line whose loading is above 80%.",False,extra_arg_changes_result,modify_load: extra argument q_mvar=16.6 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,False,,0,True,11,0,False,True,nan,0.033466679764953725,,5,4,4,19708,339,0.054355,8.506576333020348,
6,case14-stress-002-s1,stress,non_converged,"Load the IEEE 14-bus system, disconnect the line between bus 10 and bus 11, increase the load at bus 13 to 81 MW and 34.8 Mvar (six times its nominal value), increase the load at bus 3 to 565.2 MW and 114 Mvar (six times its nominal value), increase the active load at bus 4 to 286.8 MW (six times its nominal value), and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",False,extra_arg_changes_result,modify_load: extra argument q_mvar=-3.9 changes the solver outcome (request did not ask for it),escalated,False,formulation,True,False,text,False,,0,True,0,0,False,True,,,,7,6,6,37764,367,0.09991499999999999,13.01465545897372,
7,case14-stress-003-s0,stress,non_converged,"Load the 14-bus test case (case14), disconnect the line between bus 1 and bus 2, increase the load at bus 3 to 282.6 MW and 57 Mvar (three times its nominal value), and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,solved,True,declared_failure,False,False,text,False,,0,False,10,0,True,True,,,,5,4,4,12662,476,0.038795,11.09831158304587,
8,case14-stress-003-s1,stress,islanded,Load the IEEE 14-bus system and disconnect the transformer branch between bus 7 and bus 8.,True,ok,,solved,True,declared_failure,False,False,text,False,,0,True,11,0,False,True,nan,0.0,0.0,3,2,2,4943,344,0.017517500000000002,7.090907208970748,
9,case14-stress-004-s0,stress,non_converged,"Load the IEEE 14-bus system, increase the active load at bus 4 to 286.8 MW (six times its nominal value), increase the load at bus 3 to 565.2 MW and 114 Mvar (six times its nominal value), and finally increase the load at bus 9 to 177 MW and 99.6 Mvar (six times its nominal value).",False,extra_arg_changes_result,modify_load: extra argument q_mvar=0.0 changes the solver outcome (request did not ask for it),escalated,False,formulation,True,False,text,False,,0,False,7,0,True,True,,,,5,4,4,17190,418,0.049245,9.999109250027686,
10,case14-stress-004-s1,stress,non_converged,"Load case14, increase the load at bus 13 to 81 MW and 34.8 Mvar (six times its nominal value), increase the load at bus 3 to 565.2 MW and 114 Mvar (six times its nominal value), and finally increase the active load at bus 4 to 286.8 MW (six times its nominal value).",False,extra_arg_changes_result,modify_load: extra argument q_mvar=-3.9 changes the solver outcome (request did not ask for it),escalated,False,formulation,True,False,text,False,,0,False,7,1,True,True,,,,5,4,4,17541,447,0.050557500000000005,10.592655666987412,
