nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.002222865705104961,0.38191351354832037,0.5035004915929299,1,0,0,2179,12706,0.131418,265.2309582233429,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,70,,,0.0019970333090574832,0.6431267710675541,0.18552102553091052,1,0,0,2193,8540,0.089786,172.51386499404907,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.0010677923838565695,0.19210844564668855,0.05593013136330564,1,0,0,2184,10981,0.11417799999999999,189.81281113624573,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,,,no tool stage,solved,True,numeric_and_answer_ok,False,False,json,False,,,False,71,71,,,0.0007750295077144324,0.1253145462795151,0.07700123029033398,1,0,0,2194,8009,0.08447800000000001,158.7826840877533,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,69,,,0.003009932764509195,0.6220522986709436,0.03239208401903388,1,0,0,2193,18386,0.188246,404.34559392929077,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.0013184983611390644,0.17331223104642052,0.02512322712997608,1,0,0,2193,8441,0.08879600000000001,166.36728596687317,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,,,no tool stage,solved,True,numeric_and_answer_ok,False,False,json,False,,,False,71,48,,,0.0003285260549472329,0.1329445616154787,0.07207809480000658,1,0,0,2193,8384,0.08822600000000001,165.51439690589905,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,69,,,0.0020851884776020685,1.840858563547909,1.0991827115638444,1,0,0,2179,9584,0.10019800000000001,239.6183168888092,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,,,no tool stage,solved,True,numeric_and_answer_ok,False,False,json,False,,,False,71,71,,,0.0006648784099715048,0.10337242433794311,0.04033015810952914,1,0,0,2194,7870,0.08308800000000001,1165.2213771343231,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,49,,,0.001146915965168154,0.23306601014539816,0.2635534193408232,1,0,0,2195,6956,0.07395000000000002,147.57652807235718,
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.0038808031925722957,0.5971110046548623,0.040587447016406895,1,0,0,2220,11159,0.11603000000000001,244.30803608894348,
12,case14-multistep-006-s0,multistep,converged,"Load the 14-bus test case (case14), set the active load at bus 4 to 42.7 MW, disconnect the line between bus 3 and bus 4, reconnect the line between bus 3 and bus 4, and finally rerun the power flow, then list every line whose loading is above 80%.",,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,71,71,,,0.00035211464882626116,0.2556780360697396,0.09767528690662,1,0,0,2235,7709,0.08156,143.6813187599182,
13,case14-multistep-010-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 5, disconnect the line between bus 1 and bus 2, and finally rerun the power flow, then list every line whose loading is above 100%.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,71,,,0.0033581796388332014,1.7059667674884456,0.2568098972115141,1,0,0,2220,8409,0.08853,158.8977119922638,
14,case14-multistep-014-s0,multistep,converged,"Load case14, set the active load at bus 13 to 18.9 MW, set the active load at bus 4 to 59.1 MW, set the active load at bus 9 to 23.2 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,70,,,0.0014078938348318162,0.1339588030188109,0.024243746530374574,1,0,0,2232,9592,0.100384,192.47065496444702,
15,case14-multistep-018-s0,multistep,converged,"Load the IEEE 14-bus system, disconnect the line between bus 4 and bus 5, then rerun the power flow, then list every line whose loading is above 90%.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,70,,,0.004441868926116944,1.590471167903622,0.07008795447383133,1,0,0,2204,12530,0.129708,284.59527802467346,
16,case14-multistep-022-s0,multistep,converged,"Load case14, disconnect the line between bus 9 and bus 10, set the active load at bus 3 to 118.6 MW, set the active load at bus 4 to 53.6 MW, and finally run an N-1 contingency analysis ranked by max violations and report the 8 worst outages.",,,no tool stage,escalated,False,convergence_mismatch,True,False,json,False,,,False,4,4,,,,,,1,0,0,2232,2392,0.028384,47.64197111129761,
17,case14-multistep-026-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 4, then rerun the power flow, then report the bus with the lowest voltage magnitude.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,71,70,,,0.00195253175134131,3.33427787913136,0.390424634400776,1,0,0,2206,9314,0.097552,181.84138083457947,
18,case14-multistep-030-s0,multistep,converged,"Load case14, set the active load at bus 14 to 17.2 MW, disconnect the line between bus 1 and bus 5, reconnect the line between bus 1 and bus 5, and finally run an N-1 contingency analysis ranked by min voltage and report the 8 worst outages.",,,no tool stage,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2229,4103,0.045488,89.17651796340942,
