nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,61,,,0.0266683032789027,35.44504112600653,12.453754638835948,1,0,0,2030,865,0.0008235,15.072901964187622,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,52,,,0.019954287334045688,37.92893749701837,12.748309942778953,1,0,0,2044,864,0.0008249999999999999,15.308980941772461,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",,unparsed,ValueError: json_parse_failed,wrong_unflagged,False,run_failed,False,True,text,False,,,False,72,72,,,,,,1,0,0,2035,930,0.00086325,15.273153066635132,ValueError: json_parse_failed
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,,unparsed,ValueError: json_parse_failed,wrong_unflagged,False,run_failed,False,True,text,False,,,False,71,69,,,,,,1,0,0,2045,924,0.00086115,12.940335988998413,ValueError: json_parse_failed
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,52,,,0.027152789907366328,27.65954477293161,11.772521652077224,1,0,0,2044,869,0.000828,17.47680401802063,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,52,,,0.028604212646853342,35.7233495894339,16.292311014965318,1,0,0,2044,863,0.0008244,14.784543991088867,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,,unparsed,ValueError: json_parse_failed,wrong_unflagged,False,run_failed,False,True,text,False,,,False,71,38,,,,,,1,0,0,2044,924,0.000861,16.740797996520996,ValueError: json_parse_failed
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,61,,,0.025114497708028222,36.14163266013974,12.241593272411594,1,0,0,2030,863,0.0008223,16.999629259109497,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,,unparsed,ValueError: json_parse_failed,wrong_unflagged,False,run_failed,False,True,text,False,,,False,71,69,,,,,,1,0,0,2045,924,0.00086115,13.090252161026001,ValueError: json_parse_failed
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,,unparsed,ValueError: json_parse_failed,wrong_unflagged,False,run_failed,False,True,text,False,,,False,72,30,,,,,,1,0,0,2046,930,0.0008649,12.354306697845459,ValueError: json_parse_failed
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,60,,,0.026501108422487634,34.671651356366084,11.617490943076449,1,0,0,2071,867,0.00083085,11.869290113449097,
12,case14-multistep-006-s0,multistep,converged,"Load the 14-bus test case (case14), set the active load at bus 4 to 42.7 MW, disconnect the line between bus 3 and bus 4, reconnect the line between bus 3 and bus 4, and finally rerun the power flow, then list every line whose loading is above 80%.",,unparsed,ValueError: json_parse_failed,wrong_unflagged,False,run_failed,False,True,text,False,,,False,71,69,,,,,,1,0,0,2086,924,0.0008673000000000001,12.547410249710083,ValueError: json_parse_failed
13,case14-multistep-010-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 5, disconnect the line between bus 1 and bus 2, and finally rerun the power flow, then list every line whose loading is above 100%.",,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,59,49,,,0.0246485582602608,44.87698966304104,14.589948379086941,1,0,0,2071,836,0.00081225,12.868272066116333,
