nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,,,no tool stage,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,5,5,,,,,,1,0,0,2179,404,0.0115075,4.985407114028931,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,,,no tool stage,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,9,9,,,,,,1,0,0,2193,439,0.0120675,5.655267953872681,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",,,no tool stage,solved,True,numeric_and_answer_ok,False,False,json,False,,,False,83,83,,,0.00046051820370128304,2.1964761150640237,2.8659985213652273,1,0,0,2184,1556,0.0288,11.785227060317993,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,84,82,,,0.0008534023711315493,2.1828203587176604,4.654955485851415,1,0,0,2194,1464,0.027445,11.717413663864136,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,,,no tool stage,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,75,75,,,0.007126778036055659,2.463830277635912,2.4548337191516483,1,0,0,2193,1392,0.0263625,9.507932901382446,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,82,81,,,0.0003959026429357003,7.9027389077553565,19.52793340594455,1,0,0,2193,1560,0.028882500000000002,14.93398404121399,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,76,52,,,0.0005286168021956884,2.058945895079862,2.0732205129718397,1,0,0,2193,1384,0.026242500000000002,9.189708948135376,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,,,no tool stage,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,5,5,,,,,,1,0,0,2179,340,0.010547500000000001,3.916248083114624,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,,,no tool stage,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,10,7,,,,,,1,0,0,2194,395,0.01141,4.278573036193848,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,,,no tool stage,wrong_unflagged,False,answer_mismatch,False,True,json,False,,,False,80,56,,,0.0003726428514544411,3.1180501498492843,3.3101884245312516,1,0,0,2195,1545,0.028662499999999997,10.624073028564453,
