nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,5,0,False,,0.0,0.0,0.0,3,2,2,5546,266,,6.744052499998361,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,7,0,False,,0.0,0.0,0.0,3,2,2,5522,301,,7.748446625075303,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,5,0,,,0.0,0.0,0.0,3,2,2,5718,228,,7.333091207896359,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,5,0,,,0.0,0.0,0.0,3,2,2,5860,333,,8.659889625036158,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,7,0,False,,0.0,0.0,0.0,3,2,2,5714,312,,8.377316250000149,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,6,0,,,0.0,0.0,0.0,3,2,2,5796,241,,6.420434374944307,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,6,0,,,0.0,0.0,0.0,3,2,2,5801,357,,14.328369208960794,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,7,0,False,,0.0,0.0,0.0,3,2,2,5506,276,,7.93666895898059,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,6,0,,,0.0,0.0,0.0,3,2,2,5878,346,,8.077414667000994,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,5,0,,,0.0,0.0,0.0,3,2,2,5760,277,,8.295317833079025,
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,11,0,False,,0.0,0.0,0.0,5,4,4,20274,419,,12.38313583296258,
12,case14-multistep-006-s0,multistep,converged,"Load the 14-bus test case (case14), set the active load at bus 4 to 42.7 MW, disconnect the line between bus 3 and bus 4, reconnect the line between bus 3 and bus 4, and finally rerun the power flow, then list every line whose loading is above 80%.",True,ok,,escalated,False,answer_mismatch,True,False,text,True,,0,True,0,0,False,,0.0,0.0,0.0,9,8,8,76648,1150,,43.11896308406722,
13,case14-multistep-010-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 5, disconnect the line between bus 1 and bus 2, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_retry,2,True,6,0,False,,0.0,0.0,0.0,7,5,5,42024,817,,23.085211999947205,
14,case14-multistep-014-s0,multistep,converged,"Load case14, set the active load at bus 13 to 18.9 MW, set the active load at bus 4 to 59.1 MW, set the active load at bus 9 to 23.2 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,6,0,,,0.0,0.0,0.0,6,5,5,33579,453,,16.06822725001257,
15,case14-multistep-018-s0,multistep,converged,"Load the IEEE 14-bus system, disconnect the line between bus 4 and bus 5, then rerun the power flow, then list every line whose loading is above 90%.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,12,0,False,,0.0,0.0,0.0,4,3,3,11796,395,,10.936684165964834,
