nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-stress-000-s0,stress,islanded,Load the IEEE 14-bus system and disconnect the transformer branch between bus 7 and bus 8.,True,ok,,wrong_unflagged,False,failure_not_declared,False,True,text,False,,,True,3,0,False,False,nan,0.0,0.0,0,2,1,0,0,0.0,0.21799329103669152,
2,case14-stress-000-s1,stress,islanded,Load the IEEE 14-bus system and disconnect the transformer branch between bus 7 and bus 8.,True,ok,,wrong_unflagged,False,failure_not_declared,False,True,text,False,,,True,3,0,False,False,nan,0.0,0.0,0,2,1,0,0,0.0,0.27429429098265246,
3,case14-stress-001-s0,stress,islanded,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 4, disconnect the transformer branch between bus 7 and bus 8, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,wrong_unflagged,False,failure_not_declared,False,True,text,False,,,True,10,0,False,False,nan,0.0,0.0,0,4,1,0,0,0.0,0.23862100002588704,
4,case14-stress-001-s1,stress,non_converged,"Load the 14-bus test case (case14), increase the load at bus 3 to 565.2 MW and 114 Mvar (six times its nominal value), increase the active load at bus 4 to 286.8 MW (six times its nominal value), and finally increase the load at bus 9 to 177 MW and 99.6 Mvar (six times its nominal value).",False,unparsed,no tool calls could be formulated,escalated,False,run_failed,True,False,text,True,,,True,2,0,,True,,,,0,0,0,0,0,0.0,6.145797669887543e-05,RuntimeError: formulation_failure: no tool calls could be formulated
5,case14-stress-002-s0,stress,islanded,"Load the 14-bus test case (case14), set the active load at bus 9 to 37.7 MW, disconnect the transformer branch between bus 7 and bus 8, and finally rerun the power flow, then list every line whose loading is above 80%.",True,ok,,wrong_unflagged,False,failure_not_declared,False,True,text,False,,,True,10,0,False,False,nan,0.0,0.0,0,4,1,0,0,0.0,0.24034116696566343,
6,case14-stress-002-s1,stress,non_converged,"Load the IEEE 14-bus system, disconnect the line between bus 10 and bus 11, increase the load at bus 13 to 81 MW and 34.8 Mvar (six times its nominal value), increase the load at bus 3 to 565.2 MW and 114 Mvar (six times its nominal value), increase the active load at bus 4 to 286.8 MW (six times its nominal value), and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",False,unparsed,no tool calls could be formulated,escalated,False,run_failed,True,False,text,True,,,True,2,0,,True,,,,0,0,0,0,0,0.0,6.90409797243774e-05,RuntimeError: formulation_failure: no tool calls could be formulated
7,case14-stress-003-s0,stress,non_converged,"Load the 14-bus test case (case14), disconnect the line between bus 1 and bus 2, increase the load at bus 3 to 282.6 MW and 57 Mvar (three times its nominal value), and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",False,missed_step,missing tools: ['modify_load'],wrong_unflagged,False,formulation,False,True,text,True,,,True,7,0,False,False,,,,0,3,1,0,0,0.0,0.2709267500322312,
8,case14-stress-003-s1,stress,islanded,Load the IEEE 14-bus system and disconnect the transformer branch between bus 7 and bus 8.,True,ok,,wrong_unflagged,False,failure_not_declared,False,True,text,False,,,True,3,0,False,False,nan,0.0,0.0,0,2,1,0,0,0.0,0.24076779204187915,
9,case14-stress-004-s0,stress,non_converged,"Load the IEEE 14-bus system, increase the active load at bus 4 to 286.8 MW (six times its nominal value), increase the load at bus 3 to 565.2 MW and 114 Mvar (six times its nominal value), and finally increase the load at bus 9 to 177 MW and 99.6 Mvar (six times its nominal value).",False,unparsed,no tool calls could be formulated,escalated,False,run_failed,True,False,text,True,,,True,1,0,,True,,,,0,0,0,0,0,0.0,6.008398486301303e-05,RuntimeError: formulation_failure: no tool calls could be formulated
10,case14-stress-004-s1,stress,non_converged,"Load case14, increase the load at bus 13 to 81 MW and 34.8 Mvar (six times its nominal value), increase the load at bus 3 to 565.2 MW and 114 Mvar (six times its nominal value), and finally increase the active load at bus 4 to 286.8 MW (six times its nominal value).",False,unparsed,no tool calls could be formulated,escalated,False,run_failed,True,False,text,True,,,True,2,0,,True,,,,0,0,0,0,0,0.0,5.629099905490875e-05,RuntimeError: formulation_failure: no tool calls could be formulated
