nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,61,,,0.0266683032789027,35.44504112600653,12.453754638835948,1,0,0,2834,1141,0.0011097000000000001,10.026832103729248,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,52,,,0.019954287334045688,37.92893749701837,12.748309942778953,1,0,0,2848,1157,0.0011213999999999998,10.605926752090454,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",,unparsed,ValueError: json_parse_failed,wrong_unflagged,False,run_failed,False,True,text,False,,,False,73,73,,,,,,1,0,0,2839,1396,0.0012634500000000002,18.811306953430176,ValueError: json_parse_failed
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,,unparsed,ValueError: json_parse_failed,wrong_unflagged,False,run_failed,False,True,text,False,,,False,75,70,,,,,,1,0,0,2849,1402,0.00126855,17.383486032485962,ValueError: json_parse_failed
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,62,53,,,0.027152789907366328,39.30006464197471,11.20947167068031,1,0,0,2848,1176,0.0011327999999999998,13.03239917755127,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,63,53,,,0.027602526371287,38.2673495894339,13.112311014965316,1,0,0,2848,1255,0.0011802,16.555166959762573,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,wrong_id,declared formulation: modify_load: bus_id intended 11 != executed 10,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,64,33,,,0.029242902516481397,29.27868333349555,13.786660918739301,1,0,0,2848,1220,0.0011592,16.280868768692017,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,61,,,0.025114497708028222,36.14163266013974,12.241593272411594,1,0,0,2834,1153,0.0011168999999999999,13.75189208984375,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,,unparsed,ValueError: json_parse_failed,wrong_unflagged,False,run_failed,False,True,text,False,,,False,74,69,,,,,,1,0,0,2849,1281,0.00119595,16.332807779312134,ValueError: json_parse_failed
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,wrong_id,declared formulation: modify_load: bus_id intended 2 != executed 1,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,64,19,,,0.028424512606260492,34.832776058837744,13.241961217829006,1,0,0,2850,1240,0.0011715,11.002149820327759,
