nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2808,367,0.0006414,4.023585796356201,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2822,354,0.0006357,3.6211941242218018,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,8,8,,,,,,1,0,0,2813,515,0.00073095,5.433600902557373,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,5,3,,,,,,1,0,0,2823,336,0.0006250499999999999,4.311563014984131,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,6,6,,,,,,1,0,0,2822,376,0.0006489,7.253112077713013,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,5,3,,,,,,1,0,0,2822,374,0.0006477,5.625152111053467,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,unparsed,no formulation field in the answer: no tool calls could be formulated,wrong_unflagged,False,run_failed,False,True,text,False,,,False,74,25,,,,,,1,0,0,2822,1254,0.0011757,16.6437246799469,ValueError: json_parse_failed
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2808,360,0.0006372,4.919646263122559,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,6,3,,,,,,1,0,0,2823,395,0.0006604499999999999,6.414186000823975,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,wrong_id,declared formulation: modify_load: bus_id intended 2 != executed 1,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,64,19,,,0.028424512606260492,34.832776058837744,13.241961217829006,1,0,0,2824,1221,0.0011562,17.88818597793579,
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2849,496,0.00072495,7.2337751388549805,
12,case14-multistep-006-s0,multistep,converged,"Load the 14-bus test case (case14), set the active load at bus 4 to 42.7 MW, disconnect the line between bus 3 and bus 4, reconnect the line between bus 3 and bus 4, and finally rerun the power flow, then list every line whose loading is above 80%.",True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,63,60,,,0.02927405789249777,34.25609345585929,12.086774558682778,1,0,0,2864,1266,0.0011891999999999998,10.299262046813965,
13,case14-multistep-010-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 5, disconnect the line between bus 1 and bus 2, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2849,432,0.00068655,4.855665922164917,
14,case14-multistep-014-s0,multistep,converged,"Load case14, set the active load at bus 13 to 18.9 MW, set the active load at bus 4 to 59.1 MW, set the active load at bus 9 to 23.2 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",False,wrong_id,declared formulation: modify_load: bus_id intended 13 != executed 4; modify_load: p_mw intended 18.9 != executed 59.1,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,67,60,,,0.024733321738886364,30.87977089644892,12.145495233646486,1,0,0,2861,1209,0.0011545499999999998,15.661489963531494,
15,case14-multistep-018-s0,multistep,converged,"Load the IEEE 14-bus system, disconnect the line between bus 4 and bus 5, then rerun the power flow, then list every line whose loading is above 90%.",True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2833,381,0.0006535499999999999,7.730561017990112,
16,case14-multistep-022-s0,multistep,converged,"Load case14, disconnect the line between bus 9 and bus 10, set the active load at bus 3 to 118.6 MW, set the active load at bus 4 to 53.6 MW, and finally run an N-1 contingency analysis ranked by max violations and report the 8 worst outages.",False,missed_step,"declared formulation: tool sequence differs: intended=['disconnect_line', 'modify_load', 'modify_load', 'run_n1_contingency'] executed=['modify_load', 'modify_load', 'disconnect_line', 'run_n1_contingency']",wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,7,3,,,,,,1,0,0,2861,470,0.0007111499999999999,4.987745046615601,
17,case14-multistep-026-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 4, then rerun the power flow, then report the bus with the lowest voltage magnitude.",True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,61,61,,,0.02646350553137316,36.241208644793,13.398850484586712,1,0,0,2835,1216,0.00115485,16.93842101097107,
18,case14-multistep-030-s0,multistep,converged,"Load case14, set the active load at bus 14 to 17.2 MW, disconnect the line between bus 1 and bus 5, reconnect the line between bus 1 and bus 5, and finally run an N-1 contingency analysis ranked by min voltage and report the 8 worst outages.",True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,5,3,,,,,,1,0,0,2858,458,0.0007034999999999999,5.762143135070801,
19,case14-multistep-034-s0,multistep,converged,"Load case14, disconnect the line between bus 2 and bus 5, set the active load at bus 9 to 19.9 MW, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,5,3,,,,,,1,0,0,2844,392,0.0006617999999999999,6.032380819320679,
20,case14-multistep-038-s0,multistep,converged,"Load the IEEE 14-bus system, set the active load at bus 6 to 7 MW, set the active load at bus 4 to 40.3 MW, and finally rerun the power flow, then report the bus with the lowest voltage magnitude.",False,unparsed,no formulation field in the answer: no tool calls could be formulated,wrong_unflagged,False,run_failed,False,True,text,False,,,False,80,71,,,,,,1,0,0,2849,1365,0.00124635,17.764409065246582,ValueError: json_parse_failed
21,case14-parameterized-001-s0,parameterized,converged,Load the IEEE 14-bus system and run an N-1 contingency analysis ranked by min voltage and report the 3 worst outages.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2822,370,0.0006452999999999999,4.447926044464111,
22,case14-parameterized-005-s0,parameterized,converged,Load the IEEE 14-bus system and disconnect the line between bus 4 and bus 5.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2815,360,0.0006382499999999999,5.901980876922607,
23,case14-parameterized-009-s0,parameterized,converged,Load the 14-bus test case (case14) and run an N-1 contingency analysis ranked by max violations and report the 3 worst outages.,False,invalid_value,"declared formulation: run_n1_contingency: criteria='max violations' not in ['max_violations', 'max_overload', 'min_voltage'] (tool falls back to its default)",wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,6,6,,,,,,1,0,0,2826,478,0.0007107,5.51839280128479,
24,case14-parameterized-013-s0,parameterized,converged,Load the 14-bus test case (case14) and disconnect the line between bus 13 and bus 14.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2819,372,0.0006460499999999999,5.937978744506836,
25,case14-parameterized-017-s0,parameterized,converged,Load case14 and run an N-1 contingency analysis ranked by max violations and report the 8 worst outages.,False,invalid_value,"declared formulation: run_n1_contingency: criteria='max violations' not in ['max_violations', 'max_overload', 'min_voltage'] (tool falls back to its default)",escalated,False,convergence_mismatch,True,False,json,False,,,False,3,3,,,,,,1,0,0,2817,451,0.00069315,10.810573816299438,
26,case14-parameterized-021-s0,parameterized,converged,Load case14 and run an N-1 contingency analysis ranked by max violations and report the 3 worst outages.,False,invalid_value,"declared formulation: run_n1_contingency: criteria='max violations' not in ['max_violations', 'max_overload', 'min_voltage'] (tool falls back to its default)",wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2817,359,0.00063795,4.968419075012207,
27,case14-parameterized-025-s0,parameterized,converged,Load case14 and disconnect the line between bus 9 and bus 10.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,6,6,,,,,,1,0,0,2810,413,0.0006693000000000001,4.926397085189819,
28,case14-parameterized-029-s0,parameterized,converged,"Load the 14-bus test case (case14) and run the power flow, then list every line whose loading is above 80%.",True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2823,460,0.0006994499999999999,6.091979026794434,
29,case14-parameterized-033-s0,parameterized,converged,Load the IEEE 14-bus system and set the active load at bus 14 to 15.2 MW.,True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,64,60,,,0.02959196936233707,36.55688640603536,13.550398782307385,1,0,0,2818,1179,0.0011301,15.741567850112915,
30,case14-parameterized-037-s0,parameterized,converged,"Load the IEEE 14-bus system and run the power flow, then list every line whose loading is above 100%.",True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,7,5,,,,,,1,0,0,2819,439,0.00068625,5.615525722503662,
31,case14-plain-000-s0,plain,converged,"Load case14 and run the power flow, then report the bus with the lowest voltage magnitude.",True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2813,324,0.00061635,4.600635051727295,
32,case14-plain-004-s0,plain,converged,Load case14 and run an N-1 contingency analysis and report the worst single outage.,False,invalid_value,"declared formulation: run_n1_contingency: criteria='worst' not in ['max_violations', 'max_overload', 'min_voltage'] (tool falls back to its default)",wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2812,351,0.0006324,4.069958925247192,
33,case14-plain-008-s0,plain,converged,Load case14 and set the active load at bus 2 to 21.7 MW.,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,10,7,,,,,,1,0,0,2813,525,0.0007369499999999999,6.387494802474976,
34,case14-plain-012-s0,plain,converged,Load the 14-bus test case (case14).,True,ok,declared formulation: ,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,7,7,,,,,,1,0,0,2806,443,0.0006866999999999999,7.409181356430054,
35,case14-plain-016-s0,plain,converged,Load case14 and run an N-1 contingency analysis and report the worst single outage.,False,invalid_value,"declared formulation: run_n1_contingency: criteria='worst' not in ['max_violations', 'max_overload', 'min_voltage'] (tool falls back to its default)",wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2812,337,0.000624,5.860459089279175,
36,case14-plain-020-s0,plain,converged,"Load the 14-bus test case (case14) and run the power flow, then report the bus with the lowest voltage magnitude.",True,ok,declared formulation: ,wrong_unflagged,False,voltage_error,False,True,json,False,,,False,64,64,,,0.02827446353712832,37.41602897853976,13.075978121094108,1,0,0,2822,1170,0.0011253,12.359572172164917,
